item_id,asin,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9,pc_10,pc_11,pc_12,pc_13,pc_14,pc_15,pc_16,pc_17,pc_18,pc_19,pc_20,pc_21,pc_22,pc_23,pc_24,pc_25,pc_26,pc_27,pc_28,pc_29,pc_30,pc_31,pc_32,pc_33,pc_34,pc_35,pc_36,pc_37,pc_38,pc_39,pc_40,pc_41,pc_42,pc_43,pc_44,pc_45,pc_46,pc_47,pc_48,pc_49,pc_50
796,B0009OAHRI,-0.47004,0.11229,0.1578,0.26678,0.38151,-0.14516,0.04443,-0.10282,-0.0528,-0.14692,0.07846,0.01966,-0.08162,-0.11195,0.15085,0.17446,0.01883,0.22958,0.06498,0.18744,-0.03045,0.16605,0.0399,-0.16518,0.11915,-0.02806,0.14133,-0.01623,-0.05086,-0.04097,0.05094,0.03323,0.0632,-0.02536,-0.01381,-0.00963,0.0468,-0.05716,-0.06534,0.02119,0.00921,-0.07917,-0.03644,-0.0219,0.06291,-0.03246,0.07926,-0.06694,0.05587,-0.00223
797,B0009OAHRS,-0.28536,0.00758,0.21428,0.26183,0.26015,-0.11039,-0.02312,-0.06202,-0.08301,-0.21659,0.00613,0.21287,-0.10333,-0.01604,0.07064,0.13893,0.02442,0.21352,0.05776,0.10375,0.0469,0.10102,-0.02458,-0.06115,0.02241,-0.00277,0.06601,0.00607,0.01229,-0.07043,-0.06525,0.0096,0.04025,0.01714,-0.08675,0.04996,0.04052,0.01579,-0.02315,-0.05355,0.02801,-0.03394,-0.02883,-0.02602,0.09217,-0.01608,0.00055,-0.07598,-0.01767,0.02011
798,B0009OAHVO,0.24244,-0.14982,0.18971,0.199,0.36499,-0.18928,0.07408,-0.15614,-0.22072,0.04497,0.11016,-0.01608,0.03126,-0.10145,0.15468,0.01441,-0.06714,0.01739,3e-05,0.01451,0.0424,-0.00666,0.07158,-0.04815,-0.01048,0.03061,-0.03675,0.01316,0.05163,0.0016,-0.02978,-0.01458,-0.00493,-0.04169,0.05079,-0.0247,0.00157,0.03841,0.05119,-0.00414,-0.00757,-0.01759,0.07599,-0.00708,-0.00452,0.00766,0.00696,-0.02819,0.03976,0.01228
799,B0009OAHWI,0.25799,-0.1626,0.21108,0.19195,0.35977,-0.17073,0.1167,-0.15072,-0.19978,0.04118,0.15371,-0.06841,0.05124,-0.05933,0.15268,0.00155,-0.00768,-0.00756,-0.0039,-0.02722,-0.01225,-0.05155,-0.00209,-0.0386,-0.01018,-0.02234,-0.01751,-0.04389,0.03443,-0.03414,-0.05267,0.00559,0.02923,0.02031,0.02071,-0.01206,0.01311,0.05809,0.11762,0.00514,-0.02104,0.00117,0.07068,0.03041,-0.00715,-0.00194,-0.02519,-0.00938,0.00481,0.04072
800,B0009OAI18,-0.3328,0.08802,0.16305,0.22341,0.40028,-0.10161,-0.00858,-0.06345,-0.01607,-0.06157,0.02596,-0.01395,-0.0496,0.03447,0.13678,0.18333,0.09095,0.12776,0.01482,0.12862,-0.11824,0.1033,0.05299,-0.12808,0.0839,-0.05275,0.15589,0.00379,-0.09906,0.00503,0.0576,0.05591,0.00266,-0.01136,-0.05139,-0.02707,0.06679,-0.05802,-0.05927,-0.02238,-0.00265,-0.09934,0.00164,0.02416,0.06927,-0.084,0.0904,-0.02633,0.04953,0.02387
801,B0009OAI1S,0.25369,-0.12572,0.05607,0.06805,0.47239,-0.13853,0.09967,-0.16292,-0.15659,0.06865,0.21419,-0.03962,0.02652,-0.10376,0.09443,-0.01987,0.0036,-0.00704,0.00175,0.03148,-0.02182,-0.06888,-0.00364,-0.01437,0.04472,-0.0757,-0.05974,-0.05902,0.04576,-0.01693,-0.06198,0.00261,0.08515,0.03404,-0.03307,-0.03389,0.02981,0.04823,0.08644,0.00621,-0.03076,0.0442,0.00207,0.00784,0.0162,-0.01867,0.00173,0.03059,-0.01794,0.03684
802,B0009OAI2C,0.25186,-0.15856,0.17683,0.15632,0.36573,-0.18009,0.13257,-0.19759,-0.17208,0.13933,0.23631,-0.04316,0.02279,-0.09163,0.09745,-0.02427,-0.04064,-0.03666,0.01069,-0.0235,-0.00591,-0.09093,0.01608,-0.04183,0.01957,-0.0436,-0.0363,-0.04334,0.03156,-0.02451,-0.04337,-0.0144,0.06146,0.03181,-0.04641,-0.00993,0.04732,0.05671,0.10315,0.01763,-0.02679,0.04348,0.02472,0.01424,-0.0232,-0.00515,-0.02398,0.03969,0.00485,0.03689
803,B0009OAI3G,0.25158,-0.17125,0.23301,0.17448,0.36228,-0.19528,0.13958,-0.18997,-0.19046,0.11697,0.22962,-0.07263,0.04616,-0.09612,0.10671,-0.01974,-0.0451,-0.03766,0.00249,-0.04438,-0.014,-0.08659,0.00204,-0.04489,0.01362,-0.04306,-0.02839,-0.04421,0.04905,-0.02432,-0.04344,-0.00966,0.04663,0.03514,-0.02631,0.00752,0.03342,0.06047,0.10468,0.0121,-0.02588,0.02871,0.0345,0.02404,-0.00853,-0.00665,-0.02435,0.02928,0.00225,0.05442
804,B0009OAI40,0.26375,-0.11713,0.12015,0.09824,0.45723,-0.1164,0.1056,-0.16949,-0.16826,0.06232,0.19232,-0.06387,0.08199,-0.06692,0.11257,-0.01302,0.00378,-0.01226,-0.01692,0.00785,-0.01737,-0.0579,-0.03668,-0.03006,0.01133,-0.05494,-0.04563,-0.0238,0.01874,-0.00702,-0.03761,-0.01782,0.07332,0.02541,-0.01169,-0.02966,0.0237,0.06054,0.10425,-0.00381,-0.03904,0.02893,-0.00245,0.00783,0.01201,-0.02843,-0.01422,0.02898,-0.00444,0.03666
805,B0009OAI7C,-0.13197,0.09514,0.05369,0.1221,0.48139,-0.11646,0.0633,-0.03597,-0.0807,-0.25882,0.06205,-0.02628,0.09605,-0.09408,0.18654,0.20181,0.0514,0.13578,0.01875,0.13994,-0.0871,0.10826,-0.06415,0.01979,0.08216,0.0472,0.0295,-0.0933,0.06571,-0.08334,0.0046,-0.08486,-0.03929,0.00459,0.03322,0.00151,-0.00573,-0.0277,-0.004,-0.00664,-0.02936,-0.04218,-0.04449,-0.01445,0.04148,0.04709,0.00506,-0.04393,0.00787,-0.03389
806,B0009OAI8G,0.2444,-0.15432,0.20945,0.19042,0.37715,-0.1795,0.10667,-0.17999,-0.18148,0.05963,0.19439,-0.03981,0.08269,-0.10926,0.12788,-0.00196,-0.02306,-0.02192,-0.01972,-0.0564,-0.02638,-0.05344,0.01666,-0.0425,0.02709,-0.04536,-0.01655,-0.04426,0.04201,-0.00142,-0.05001,-0.00977,0.0198,-0.00468,-0.00843,0.0034,0.01414,0.06467,0.11533,0.00416,-0.01839,0.02707,0.04555,0.0235,-0.00016,-0.00644,-0.02818,0.00324,0.00496,0.02956
807,B0009OAIB8,0.2677,-0.12193,0.07618,0.0854,0.45836,-0.12813,0.0879,-0.17778,-0.13991,0.06578,0.18819,-0.05338,0.05173,-0.08095,0.12116,-0.0094,0.01926,-0.00144,-0.01206,-0.01353,-0.04121,-0.07506,0.0156,-0.00991,0.04279,-0.07216,-0.03767,-0.04921,0.04223,-0.02067,-0.0563,0.00224,0.07241,-0.01692,-0.01589,-0.02178,0.00436,0.04028,0.09199,0.01623,-0.02364,0.03392,0.00915,0.02532,0.0206,-0.0207,-0.01154,-0.00846,0.00516,0.0039
808,B0009OAIE0,0.2364,-0.11565,0.17463,0.2109,0.35076,-0.18703,0.10025,-0.14418,-0.16174,0.06503,0.13558,-0.06804,0.05468,-0.07141,0.15309,-0.00492,0.02538,0.01237,-0.01931,-0.02431,-0.05558,-0.02577,0.02041,-0.03976,0.03728,-0.03147,0.01305,-0.04602,0.04142,-0.03681,-0.06101,-0.00181,0.01042,-0.01735,0.02964,-0.01702,0.00253,0.04383,0.0993,-0.02566,-0.01752,0.01084,0.05196,0.05036,0.02625,0.02727,-0.01584,-0.01167,0.01879,0.00868
809,B0009OAIIG,0.24357,-0.16852,0.19815,0.17293,0.4154,-0.16935,0.08638,-0.16098,-0.18017,0.0487,0.18957,-0.09602,0.06675,-0.12289,0.17557,0.01519,-0.03124,0.00021,-0.02173,-0.03319,-0.03681,-0.03454,0.0158,-0.03786,0.02377,-0.01237,-0.01793,-0.03772,0.05808,-0.01038,-0.04611,0.01247,0.02269,-0.00146,0.01071,0.00238,0.03207,0.04757,0.11057,-0.00706,-0.01197,0.02978,0.06915,-0.00989,-0.01349,-0.0038,-0.03051,-0.00658,-0.00998,0.04217
810,B0009OAIKY,-0.17823,0.08971,0.0666,0.17294,0.40712,-0.1757,0.07338,-0.08818,-0.07924,-0.25602,0.08502,0.06247,0.07881,-0.07826,0.13607,0.22236,0.0596,0.15468,0.07475,0.17302,-0.03962,0.09571,-0.0549,0.0393,0.08365,0.0256,0.06765,-0.09654,0.09166,-0.09962,-0.00224,-0.08113,-0.04206,0.0095,-0.01016,0.00752,0.00319,-0.02629,-0.02865,-0.0181,-0.07464,-0.05557,-0.02444,0.00399,0.01711,0.06877,0.01753,-0.03571,0.00184,-0.02835
811,B0009OAIQI,0.26394,-0.15509,0.18053,0.16078,0.37252,-0.16303,0.1018,-0.18055,-0.17311,0.06542,0.19708,-0.04981,0.07577,-0.1172,0.13675,-0.00995,-0.01425,-0.01946,-0.02623,-0.07239,-0.01484,-0.0648,0.03508,-0.02489,0.02521,-0.0469,-0.02751,-0.04658,0.04206,-0.0275,-0.06279,-0.00482,0.02527,0.01084,-0.02183,-0.00371,0.01256,0.05892,0.1228,0.00837,-0.02726,0.04623,0.0314,0.0269,-0.00651,0.01203,-0.02987,1e-05,0.00674,0.01524
812,B0009OAISG,-0.34499,0.0776,0.21114,0.25206,0.34353,-0.0602,-0.02173,-0.12309,-0.03109,-0.12952,0.06934,0.03567,0.01587,0.02831,0.08918,0.17289,0.09646,0.13233,0.05983,0.15857,-0.02412,0.10851,0.08849,-0.12811,0.07536,-0.07257,0.1034,0.04362,-0.13942,0.03831,0.09572,0.02637,-0.02767,-0.00721,-0.10915,-0.01154,0.02233,-0.05592,-0.07259,0.02278,0.02691,-0.06069,-0.01844,0.01913,0.05175,-0.07987,0.10279,-0.0439,0.06176,0.00921
813,B0009OMNGQ,-0.42128,0.19158,0.06445,-0.04406,0.13149,-0.06248,-0.17931,-0.01194,-0.01451,0.09764,-0.08045,0.06174,-0.04747,0.23293,0.02512,-0.01408,0.02366,0.11221,0.05477,-0.00312,-0.04534,-0.03626,0.06843,0.03644,-0.10872,0.02483,-0.03617,0.05071,-0.10552,-0.04408,-0.02983,0.01232,0.05882,-0.00096,-0.04512,0.01564,0.00279,0.04577,-0.0129,0.02061,0.01365,0.0137,0.05959,0.01753,-0.05775,-0.03337,-0.00735,-0.02408,-0.05218,0.00387
814,B0009OXHC0,0.01218,0.06979,-0.02909,-0.33051,0.49981,0.25364,-0.26412,0.03653,-0.02897,0.0144,-0.11275,-0.27366,0.17307,0.03747,-0.04285,-0.13365,-0.01697,0.05018,-0.23031,-0.02617,-0.07782,0.08905,-0.03807,-0.02664,-0.02501,0.08536,-0.03191,-0.00545,-0.11872,0.00868,-0.02031,-0.05947,-0.01999,0.02421,0.05605,-0.02252,0.0055,0.05235,0.07881,0.00027,0.02606,0.06788,-0.0488,-0.01804,-0.01258,-0.05698,-0.06014,-0.02555,0.06736,-0.01103
815,B0009P4PZC,-0.4025,0.17189,0.30767,0.0181,0.12206,0.12901,0.10892,0.07951,-0.02762,-0.08976,-0.07878,-0.04524,-0.09641,0.01252,-0.09363,-0.00708,-0.11877,0.05088,0.08376,-0.08898,0.01784,-0.07627,0.09309,0.05367,0.04473,-0.06592,-0.02986,-0.09544,-0.03662,0.09172,-0.00748,0.00237,-0.01288,0.07055,-0.0412,0.02475,0.01766,0.06005,-0.03731,-0.02629,0.07863,-0.00679,-0.00541,-0.02383,0.02064,-0.08383,-0.07432,-0.01374,-0.02953,-0.00032
816,B0009PVV36,-0.47773,-0.11668,0.01136,-0.44529,-0.17856,-0.12019,-0.22369,-0.11202,0.01846,0.16566,-0.10785,-0.15687,0.10561,-0.1048,0.14374,0.11814,0.12844,0.15049,0.05122,-0.05191,-0.14924,-0.22729,0.03075,-0.06521,-0.0073,-0.08428,-0.02159,0.06423,0.02476,0.00393,0.07701,-0.05195,-0.05843,0.11033,-0.05473,-0.00757,-0.07944,0.15702,-0.12566,0.06127,-0.03822,0.11275,-0.07967,-0.03223,0.10917,-0.04062,0.11992,-0.06318,0.06222,-0.01416
817,B0009PVV40,-0.40418,-0.09858,0.204,-0.12972,-0.14669,-0.13711,-0.17777,-0.05388,0.04721,-0.07295,-0.16589,0.06524,0.11551,-0.13931,0.0711,0.20636,-0.04327,0.06109,0.0002,-0.08541,-0.02489,-0.12371,0.03571,-0.0583,-0.04217,-0.09272,-0.01941,0.00174,-0.04861,0.0291,0.01821,-0.06463,-0.06598,-0.03126,-0.04957,0.06766,-0.02898,0.04425,-0.05148,0.03553,0.02756,-0.00215,0.00766,0.02517,0.00746,-0.02815,-0.09071,-0.07919,0.04773,0.03346
818,B0009PVV4A,-0.52183,-0.03807,0.01549,-0.36954,-0.14894,-0.24598,-0.15976,-0.04614,-0.09656,0.15371,-0.19435,-0.22401,0.09296,-0.18361,0.06139,0.14718,0.083,0.07326,0.11986,0.05651,-0.13337,-0.18227,-0.0389,-0.06718,-0.02046,-0.08204,0.03223,0.05708,-0.02006,-0.0228,0.06382,-0.03541,-0.06054,0.05879,0.01114,-0.0844,0.0289,0.13084,-0.06849,0.0691,0.04101,0.01889,-0.07063,-0.02316,0.04847,-0.00566,0.06129,-0.00441,0.05569,-0.07022
819,B0009QJ3TE,0.30876,-0.00657,0.02048,0.11321,-0.02146,-0.01418,0.09875,0.03397,-0.03513,-0.03589,-0.00216,-0.04432,0.05264,0.09945,0.02022,0.04737,-0.04404,0.01122,0.04236,-0.00914,0.03175,0.04237,-0.03803,-0.02981,0.01828,0.04122,0.00948,0.03126,-0.05974,-0.02099,0.01579,-0.03877,0.06967,-0.00546,0.00449,-0.03977,-0.07959,-0.0027,0.03341,0.01299,-0.01378,0.01533,-0.01722,-0.00754,-0.01303,0.00987,0.02666,-0.01154,0.06601,-0.00822
820,B0009QZXP2,0.20296,0.17284,-0.06855,-0.26622,0.07781,0.10685,-0.09382,0.09459,-0.02958,-0.17281,0.02703,-0.02195,0.02039,0.08709,-0.06655,-0.02331,-0.04574,-0.0733,-0.01068,0.00482,-0.03627,0.00956,0.00545,0.01821,0.04927,-0.0063,-0.06907,-0.00256,-0.02894,0.03015,-0.02483,-0.04931,0.0504,0.09932,0.01454,0.07261,0.04773,0.01795,0.0536,0.04684,0.02438,-0.00028,0.01945,-0.00574,-0.00017,0.03012,-0.01629,-0.00087,0.03121,0.00018
821,B0009QZXQ6,0.31794,0.09474,0.14164,-0.05261,-0.07277,-0.06747,-0.01078,0.04672,-0.07926,-0.13365,0.04093,-0.03281,0.0029,0.0865,-0.01838,-0.08439,-0.07092,-0.06011,0.04878,-0.02162,-0.02283,-0.03041,-0.02377,0.04831,0.06645,-0.00667,0.06399,0.03501,0.00266,-0.03456,-0.04126,-0.06749,0.02573,0.10162,0.00199,0.06756,0.03276,-0.03549,0.03122,0.06511,-0.02252,-0.03302,9e-05,-0.03287,-0.00258,0.00609,-0.03886,-0.00532,-0.0082,0.01746
822,B0009QZYBU,-0.29182,0.16517,-0.06374,-0.12697,-0.08039,-0.08102,-0.19294,-0.03655,-0.09587,0.04471,-0.02083,0.10055,-0.06728,0.08789,0.00738,-0.05556,-0.0018,0.04775,0.0062,-0.064,0.08136,-0.00921,0.01837,0.00924,0.04694,-0.01688,-0.08497,-0.08157,-0.0206,-0.02982,-0.02145,0.03826,-0.02067,0.05672,-0.00786,0.00673,-0.08935,0.04895,0.02871,-0.01803,-0.01504,-0.02838,-0.03127,-0.03626,0.02516,0.02772,0.03802,0.00455,-0.01202,0.02182
823,B0009QZYLU,-0.28593,0.06756,-0.0508,-0.00938,-0.06225,-0.19055,-0.03797,0.06919,-0.0488,0.01026,-0.01902,0.0266,0.00837,0.1209,-0.03518,0.16467,-0.16481,0.00226,-0.12831,-0.0751,0.11569,0.0412,-0.03312,-0.03129,0.01809,-0.04274,0.02592,-0.00793,0.09138,-0.07353,-0.01789,0.00476,-0.01707,-0.00687,0.02486,-0.03769,-0.04684,-0.01192,-0.02443,-0.01365,-0.00603,-0.04181,-0.02142,0.02273,0.04524,-0.02199,0.02168,0.07513,-0.02453,0.04571
824,B0009QZYN8,-0.05579,-0.01408,-0.21608,-0.07461,0.02765,-0.02637,-0.23148,0.03567,-0.04497,0.01325,0.07918,0.01194,0.02043,0.01949,-0.02394,0.0286,-0.09989,0.09763,-0.09218,-0.03914,0.15308,0.02408,-0.03835,-0.04333,0.08196,-0.02975,-0.02642,0.03383,0.06966,-0.04442,-0.02532,-0.05575,-0.04009,0.05486,0.02954,-0.0095,0.00207,0.02308,-0.05704,0.05472,0.01762,-0.06509,-0.01445,0.09069,-0.01171,-0.0338,-0.0047,0.04564,-0.09293,-0.02711
825,B0009QZYO2,-0.56665,0.14823,0.11646,0.10613,-0.17009,-0.22939,-0.13298,0.09946,-0.04466,-0.12555,0.12182,-0.16756,0.00891,0.05206,-0.08568,0.20941,-0.13638,-0.00677,-0.10489,0.00072,0.14641,0.00988,-0.04697,-0.09347,0.08968,-0.05869,-0.03648,0.03731,0.09977,0.00656,-0.04563,-0.09024,-0.02408,0.10272,-0.01101,0.00462,-0.00852,-0.02378,-0.06418,0.02334,0.0591,-0.05453,-0.08695,0.05704,0.00931,-0.0834,0.01824,0.04657,-0.0173,0.0408
826,B0009QZZ4Q,-0.02165,0.11416,-0.07546,-0.10611,-0.03265,-0.12218,0.00558,0.04291,-0.02936,-0.19281,0.06057,0.03272,-0.00491,0.08898,-0.06485,0.08811,-0.09896,-0.05563,0.01526,0.01528,-0.02818,0.02086,0.0432,0.02399,-0.04404,-0.09845,-0.02456,-0.01839,-0.05473,-0.07849,-0.08195,0.03897,-0.02248,0.05122,0.05705,-0.03027,0.01346,0.00145,0.05275,0.03469,-0.00029,-0.01686,-0.06001,0.00118,-0.01305,-0.01839,0.04105,0.01723,0.01276,0.04457
827,B0009R14NG,-0.19168,0.21523,0.24168,-0.01284,-0.10295,0.00306,-0.1165,-0.00969,0.00647,-0.14751,0.13907,0.08374,-0.01296,-0.11993,-0.11438,-0.13321,-0.11854,0.00713,-0.06992,-0.0193,0.01682,-0.03705,0.07647,-0.02931,0.03627,-0.01489,0.01504,-0.07399,-0.0357,-0.04803,-0.10986,-0.06291,0.04545,0.05476,0.01767,0.01255,0.02528,-0.08939,-0.09005,-0.02861,0.06396,-0.03425,-0.06762,-0.06111,0.02354,0.06737,-0.04527,-0.05689,-0.00488,0.00833
828,B0009R14Q8,-0.28053,0.27532,0.23788,0.00836,-0.07776,-0.08282,-0.06744,-0.00823,0.01077,-0.04132,0.12405,0.02648,-0.05302,-0.04646,-0.0895,-0.08197,-0.14183,-0.06039,-0.01103,-0.0442,-0.06352,-0.07279,0.02274,-0.01116,-0.02133,0.02513,0.01265,-0.00513,-0.03359,-0.07185,-0.03028,-0.00836,0.02252,0.03003,0.06377,-0.03039,0.00241,-0.05564,-0.08067,0.00444,0.03222,-0.13083,-0.04218,-0.0266,-0.01257,0.0184,-0.01439,-0.03312,0.01456,-0.0054
829,B0009R14XQ,-0.12242,0.16708,-0.14345,0.15413,-0.10585,0.08672,0.05224,-0.0199,-0.00034,-0.14166,-0.01863,-0.09666,-0.00495,-0.03258,0.04003,0.11034,0.12914,0.14273,-0.00741,-0.19413,0.03204,-0.07279,-0.02623,-0.07042,-0.00297,-0.14017,-0.09867,-0.01169,0.04967,-0.06306,-0.01916,-0.14006,-0.03315,-0.01094,0.07807,-0.06344,0.12533,-0.02697,-0.06812,-0.10723,0.09245,0.02015,0.0119,0.05513,-0.01783,-0.00487,0.03673,0.00503,0.05083,0.03042
830,B0009R16O8,0.20882,0.01378,0.21511,0.01212,0.13324,-0.06203,-0.04715,0.12898,0.18793,0.1132,-0.00015,-0.15397,-0.05293,-0.11961,-0.11065,-0.14319,-0.15997,0.07274,-0.15783,0.05006,0.08542,0.03859,0.05848,0.04276,0.00569,0.03571,-0.03306,-0.07527,-0.03519,-0.09158,0.04712,-0.05587,-0.09464,0.1119,0.01565,-0.01726,0.03534,0.05334,-0.03482,0.02163,-0.00966,-0.06459,-0.03572,-0.00769,0.03616,0.03735,-0.08432,-0.05413,0.00708,0.06834
831,B0009R33U8,0.32612,-0.01254,0.16971,0.07721,-0.22762,-0.19404,-0.00792,0.14217,-0.06207,0.04845,0.04006,-0.02542,0.00298,0.12172,0.03384,0.10829,-0.04129,0.01079,-0.06261,0.04186,0.08593,0.02046,0.10776,-0.02164,-0.01077,0.05293,-0.08209,-0.09208,0.0148,-0.01669,0.04655,0.02969,-0.00317,0.00324,0.03053,-0.01975,0.04045,0.02038,-0.05419,-0.00147,-0.01439,-0.03965,-0.03415,0.00953,-0.03925,0.01765,0.00499,0.01252,0.03457,-0.0409
832,B0009R35GA,-0.56522,0.14514,0.1163,0.10426,-0.1634,-0.23078,-0.13012,0.0986,-0.05425,-0.11918,0.11647,-0.16703,0.0108,0.05244,-0.0926,0.21212,-0.1404,-0.00412,-0.1075,-0.00739,0.15044,0.01844,-0.044,-0.08823,0.09261,-0.06618,-0.03226,0.03473,0.104,0.00688,-0.05009,-0.09005,-0.02449,0.10622,-0.00803,0.00936,-0.0117,-0.02533,-0.06748,0.02139,0.0644,-0.05821,-0.08913,0.05725,0.00748,-0.08622,0.01354,0.04748,-0.01707,0.04435
833,B0009R5AYA,-0.01838,0.17011,-0.06407,-0.05162,-0.2436,-0.11249,-0.10197,0.07193,-0.03912,-0.08096,0.05452,0.13779,-0.13099,0.02314,0.12653,0.00719,-0.0083,0.02286,0.00521,-0.07435,-0.01723,-0.11214,0.0557,0.053,0.00418,0.06787,-0.02822,-0.11461,0.0522,-0.03124,0.02735,-0.01252,-0.10163,0.07169,-0.03007,-0.00392,-0.08567,-0.03133,0.01773,-0.00764,0.02104,-0.00866,0.05792,-0.04623,-0.01794,-0.00813,0.04311,-0.06971,0.01789,-0.05303
834,B0009R5B8A,-0.55446,0.17089,0.23622,0.15307,0.10515,0.1096,-0.03162,0.08511,0.04872,-0.00855,-0.0327,-0.03049,-0.1734,-0.0115,0.06136,0.06279,0.00812,0.07787,0.06165,-0.03047,0.07184,0.02852,0.17598,0.03581,-0.00504,0.00099,0.01523,-0.04083,-0.02167,0.08268,0.00442,-0.0815,0.05307,0.03269,-0.19989,-0.09338,0.02041,0.04061,-0.09307,0.07796,0.08686,-0.05062,0.10179,-0.13963,-0.00243,-0.04752,0.04601,0.02132,-0.01384,0.07995
835,B0009R5CMK,0.23026,0.10412,0.02309,-0.13224,-0.106,0.03785,-0.19685,0.00822,-0.07222,-0.08432,0.03404,0.10048,0.00445,0.05449,0.03993,-0.09547,-0.06977,-0.04155,0.00112,-0.02941,-0.04914,0.04585,-0.02252,0.14197,0.12555,-0.0919,-0.066,0.1117,-0.04619,0.01399,-0.08155,-0.00086,0.02861,0.11634,0.0275,0.03645,0.05624,0.03529,0.03767,0.07825,0.0106,-0.00175,0.06629,-0.00718,0.02164,0.0483,0.03516,0.00943,-0.01546,-0.00393
836,B0009RF9OG,0.21329,0.12347,0.09839,0.09883,-0.12054,-0.20276,-0.09634,0.01276,0.0347,0.19905,0.04419,0.05792,-0.25609,-0.02859,-0.03102,0.03333,-0.05534,0.02994,0.00567,0.0595,-0.08994,0.14887,-0.08071,0.07894,0.00052,-0.05599,-0.00121,-0.02694,0.04866,-0.04026,-0.00511,-0.10059,0.02997,-0.02099,0.01748,-0.02699,-0.04439,-0.00606,-0.0311,0.00959,0.00566,0.05973,0.0027,-0.02666,0.10477,-0.05735,-0.07648,0.04986,-0.01045,-0.01724
837,B0009RFAOK,-0.10384,0.27725,0.061,-0.01344,-0.06342,0.03734,0.11792,-0.02296,-0.02956,0.05278,0.01606,0.17819,-0.01134,-0.0532,-0.02527,0.05143,-0.08366,-0.02829,-0.0242,-0.0508,0.07744,-0.00147,-0.05744,-0.09407,0.05967,-0.04985,0.0038,0.04435,0.04425,-0.09652,0.02634,0.07695,-0.05084,0.03134,0.04331,0.07026,-0.09954,0.05396,-0.03705,-0.00067,0.02689,0.04212,-0.05412,-0.08961,0.04216,-0.00173,0.00689,-0.07044,-0.05215,-0.00907
838,B0009RFAPY,0.09373,0.15919,-0.12692,-0.10029,0.08151,0.03217,0.1152,0.01581,0.19505,0.04766,0.06148,0.07679,-0.04266,0.0148,0.09307,-0.07752,-0.1302,0.03062,-0.03715,0.02255,0.06372,-0.07909,0.01921,0.00561,0.08963,0.02433,-0.02603,0.04464,-0.02777,-0.01738,0.05755,0.07377,-0.01032,-0.02551,-0.06911,0.01668,-0.08817,0.00012,-0.0302,0.01484,0.06877,0.05566,-0.02137,0.00121,0.02477,-0.00944,-0.00637,0.00794,-0.00232,-0.01608
839,B0009RFB76,0.23935,0.18511,0.04213,0.08143,-0.06313,0.11395,-0.07279,-0.15882,-0.12344,0.20968,-0.02499,0.14219,-0.0372,-0.03839,0.05801,0.05112,-0.03404,-0.11828,-0.03799,0.03845,-0.13061,0.09341,-0.02025,0.05623,-0.03388,0.02309,0.03891,0.11654,0.01751,0.033,0.04349,-0.07255,0.01889,-0.07615,-0.03731,0.00443,-0.01541,-0.00695,-0.02185,0.03607,-0.02911,-0.02458,-0.03189,-0.01628,0.0441,-0.01559,0.07452,0.04599,-0.01015,-0.01176
840,B0009RMN0E,-0.07415,-0.07369,-0.14182,-0.33021,-0.00202,-0.10531,-0.15326,-0.07381,-0.01527,0.03578,-0.06372,0.02946,0.11661,-0.11403,-0.02176,0.16763,0.01737,0.02506,0.05064,-0.07643,-0.03433,-0.14046,-0.01806,0.00377,-0.02297,-0.05091,0.01588,0.02515,-0.02105,0.05086,-0.00359,-0.00091,-0.05292,0.00714,-0.05037,-0.00135,-0.0363,0.1034,-0.08619,-0.01552,-0.04339,0.00966,-0.00435,-0.00562,0.04707,-0.01216,0.01875,-0.03544,-0.00803,-0.04163
841,B0009STDD8,0.19913,0.01246,0.10738,0.26461,0.27789,-0.19049,0.08265,0.00326,-0.11405,-0.1675,-0.03973,0.02169,0.05493,0.00824,0.17863,0.07884,0.06574,0.08478,-0.02278,0.0992,-0.00287,0.09677,-0.00263,-0.05403,0.06095,0.05145,0.02053,0.01828,-0.00099,0.03277,9e-05,-0.04333,-0.03066,0.02611,0.06204,-0.00561,-0.03537,0.00469,-0.00786,-0.00596,0.03591,-0.04817,-0.05024,-0.01321,0.02692,-0.01994,-0.04247,-0.02198,-0.0211,-0.02856
842,B0009TNBVC,-0.11823,-0.01068,-0.26656,0.11798,0.08436,0.0883,0.05587,-0.16198,0.01139,0.12858,-0.04291,0.01533,-0.08171,0.07295,0.1005,0.06092,-0.13253,0.04876,-0.03495,-0.04546,0.05528,-0.03166,0.00706,-0.05919,0.03429,0.07607,0.02449,-0.04465,-0.08474,0.06752,-0.02045,0.01892,-0.0072,-0.11686,0.05331,-0.05888,0.05415,0.02823,0.02125,0.00266,0.00445,-0.04415,-0.11756,0.02073,0.09016,0.01345,-0.05862,0.00888,-0.03164,-0.06668
843,B0009V1YR8,-0.02726,-0.26228,0.04993,-0.3017,0.22866,-0.11269,0.01661,-0.0463,0.05775,0.21051,-0.00834,-0.10521,-0.09037,0.06459,-0.17227,0.15743,-0.04672,0.00505,0.10094,0.04876,-0.02455,-0.14849,-0.08287,0.01727,0.01761,0.04049,0.04818,0.02256,0.00286,0.0556,0.10644,0.03289,0.01541,0.04209,0.05255,0.00086,0.04292,0.13225,-0.0229,-0.05377,0.09861,0.01426,0.02774,0.00139,0.03191,-0.01724,0.05268,0.03643,0.0662,0.03924
