profile_id,job_cd,job_nm,job_clcd,job_clcd_nm,keco_cd,career_years,edu_level,major_field,major,cert,region,top_skill_1,top_skill_2,top_skill_3
1548,K000000945,금속가공 기계 조작원,821,금속관련 기계·설비 조작원,8212,6.4,대졸,공학,,압연기능사(국가기술),전남,움직임 통제 100,반응시간과 속도 100,정교한 동작 100
1549,K000000916,상하수도 처리장치 조작원,853,환경관련 장치 조작원,8531,0.8,고졸,공학,,,강원,화학 90,기계 87,조작 및 통제 87
1550,K000007471,보험관리자,012,행정·경영·금융·보험 관리자,0124,2.2,대졸,사회,,보험계리사(국가전문),경기,사무 90,전산 87,의료 84
1551,K000000856,컴퓨터시스템설계 및 분석가,132,컴퓨터시스템 전문가,1320,3.7,대졸,자연,,,경기,기술 설계 100,논리적 분석 100,추리력 100
1552,K000001072,"섬유 제조기계 조작원(방적,방사,연사,합사,권사기등)",861,섬유 제조·가공 기계 조작원,8611,5.7,고졸,공학,,,서울,정교한 동작 92,상품 제조 및 공정 89,품질관리분석 82
1553,K000000957,스포츠강사 및 트레이너,420,스포츠·레크리에이션 종사자,4204,12.9,고졸,예체능,생활체육학과,,경기,서비스 지향 100,유연성 및 균형 100,가르치기 100
1554,K000006723,보험계리사,031,금융·보험 전문가,0313,4.0,대졸,자연,,보험계리사(국가전문),전북,전산 100,시간 관리 100,읽고 이해하기 100
1555,K000001080,데이터분석가(빅데이터분석가),135,데이터 전문가,1352,10.8,박사,사회,,,경기,기술 설계 100,기술 분석 100,문제 해결 100
1556,K000000930,제품·광고 영업원,613,자동차 및 제품 영업원,6132,4.1,대졸,예체능,,,충북,설득 100,학습전략 100,문제 해결 99
1557,K000008492,택배원(늘찬배달원),624,택배원 및 기타 운송 종사자,6241,1.6,고졸,인문,,,전북,시간 관리 85,유연성 및 균형 85,신체적 강인성 81
1558,K000007579,일식조리사,531,주방장 및 조리사,5315,2.1,대졸,인문,,,인천,식품생산 100,정교한 동작 91,시력 87
1559,K000001166,육류·어패류 및 낙농품 가공 기계 조작원,873,식품 가공 기계 조작원,8731,5.2,고졸,공학,,식품가공기능사(국가기술),서울,작동 점검 82,상품 제조 및 공정 73,식품생산 73
1560,K000008494,대중무용수(백댄서),414,"창작·공연 전문가(작가, 연극 제외)",4147,2.2,대졸,인문,,,서울,창의력 94,유연성 및 균형 93,정교한 동작 89
1561,K000000920,토양환경기술자 및 연구원,155,에너지·환경공학 기술자 및 시험원,1555,15.9,석사,자연,,"토양환경기사, 기술사(국가기술)",경기,범주화 100,공간지각력 100,움직임 통제 100
1562,K000001007,사진기자 및 사진사,414,"창작·공연 전문가(작가, 연극 제외)",4142,2.1,대졸,예체능,,사진기능사(국가기술),경기,예술 100,시력 91,장비 선정 80
1563,K000007482,변호사,221,법률 전문가,2212,4.6,석사,사회,법학과,변호사(국가전문),서울,협상 100,글쓰기 100,듣고 이해하기 100
1564,K000008481,네트워크관리자(클라우딩컴퓨터운영관리자),136,정보시스템 및 웹 운영자,1361,8.6,대졸,사회,,,인천,장비의 유지 100,문제 해결 94,전산 87
1565,K000007449,회계사,023,회계·세무·감정 전문가,0231,1.1,대졸,자연,,,인천,읽고 이해하기 99,인적자원 관리 99,논리적 분석 94
1566,K000000849,보조교사,215,장학관 및 기타 교육 종사자,2153,5.2,전문대졸,교육,,,경기,가르치기 100,행동조정 84,창의력 84
1567,K000000954,하역 및 적재 종사원,624,택배원 및 기타 운송 종사자,6245,3.8,고졸,인문,,,인천,고장의 발견.수리 100,움직임 통제 100,조작 및 통제 98
1568,K000001032,정보 통신 관련 관리자,013,전문서비스 관리자,0137,2.7,대졸,자연,,정보통신기술사(국가기술),서울,경제와 회계 98,품질관리분석 93,조직체계의 분석 및 평가 90
1569,K000007497,수의사 보조원(동물보건사),307,보건·의료 종사자,3077,1.3,전문대졸,인문,,,경기,의료 83,생물 70,상담 55
1570,K000007566,가사관리사,563,가사 서비스원,5633,9.1,고졸,자연,,,서울,신체적 강인성 100,서비스 지향 100,청력 79
1571,K000001192,주방 보조원(일반음식점),532,식당 서비스원,5323,1.1,고졸,인문,,,광주,청력 100,신체적 강인성 86,움직임 통제 83
1572,K000001030,철도기관차 및 전동차 정비원,812,운송장비 정비원,8123,9.2,전문대졸,공학,,,경기,공학과 기술 100,신체적 강인성 97,시력 95
1573,K000001006,주조원(주조기조작원),823,단조원 및 주조원,8233,5.7,중졸 이하,공학,,,대전,상품 제조 및 공정 100,고장의 발견.수리 98,작동 점검 90
1574,K000000954,하역 및 적재 종사원,624,택배원 및 기타 운송 종사자,6245,6.3,고졸,사회,,,경기,신체적 강인성 97,반응시간과 속도 96,공간지각력 87
1575,K000001200,영업기획·관리·지원사무원,026,경영지원 사무원,0262,6.0,대졸,사회,,전산세무회계(국가공인 민간),충남,협상 100,행동조정 100,듣고 이해하기 100
1576,K000000851,지휘자,414,"창작·공연 전문가(작가, 연극 제외)",4145,2.7,대졸,예체능,성악과,,충북,선택적 집중력 100,기억력 100,학습전략 93
1577,K000000982,패스트푸드 준비원,532,식당 서비스원,5321,4.4,전문대졸,사회,,,광주,신체적 강인성 100,반응시간과 속도 94,식품생산 86
1578,K000001067,토목감리기술자,140,건축·토목공학 기술자 및 시험원,1403,1.1,전문대졸,공학,토목공학과,농어업토목기술사(국가기술),부산,품질관리분석 99,건축 및 설계 98,모니터링(Monitoring) 95
1579,K000000944,경영 및 진단 전문가,022,경영·인사 전문가,0221,1.9,대졸,사회,,가맹거래사(국가전문),광주,선택적 집중력 100,행동조정 100,문제 해결 100
1580,K000001132,정보 시스템 운영자,136,정보시스템 및 웹 운영자,1361,6.0,대졸,공학,,,서울,컴퓨터와 전자공학 100,장비의 유지 100,통신 100
1581,K000001198,출판물기획자,411,작가·통번역가,4113,3.0,대졸,자연,,,충남,글쓰기 100,국어 98,역사 94
1582,K000001144,영양사,305,영양사,3050,5.1,대졸,자연,식품영양학과,,대전,재정 관리 100,물적자원 관리 100,창의력 87
1583,K000000856,컴퓨터시스템설계 및 분석가,132,컴퓨터시스템 전문가,1320,15.0,대졸,공학,,"전자계산기기능사, 기사, 기술사(국가기술)",경남,기술 설계 100,학습전략 100,조작 및 통제 100
1584,K000001055,용접원(용접기조작원),824,용접원 및 용접기 조작원,8241,4.9,전문대졸,공학,,,경기,유연성 및 균형 100,반응시간과 속도 88,작동 점검 85
1585,K000000861,제과·제빵원,871,제과·제빵원 및 떡 제조원,8711,4.4,전문대졸,자연,,제빵기능사(국가기술),서울,상품 제조 및 공정 91,품질관리분석 88,기계 78
1586,K000001080,데이터분석가(빅데이터분석가),135,데이터 전문가,1352,2.3,박사,사회,,,경기,전산 100,기술 설계 100,조직체계의 분석 및 평가 96
1587,K000000841,김치 및 밑반찬 제조 종사원,872,식품 가공 기능원,8722,3.8,중졸 이하,자연,,한식조리기능사(국가기술),경기,신체적 강인성 85,시력 83,정교한 동작 80
1588,K000001032,정보 통신 관련 관리자,013,전문서비스 관리자,0137,9.7,대졸,공학,,,경기,경영 및 행정 100,가르치기 100,조직체계의 분석 및 평가 100
1589,K000000861,제과·제빵원,871,제과·제빵원 및 떡 제조원,8711,1.8,전문대졸,자연,,"제과기능사, 기능장(국가기술)",경기,식품생산 100,시력 85,상품 제조 및 공정 77
1590,K000001045,과실 및 채소가공 관련 기계 조작원,873,식품 가공 기계 조작원,8734,5.1,고졸,인문,,식품가공기능사(국가기술),경남,식품생산 100,작동 점검 100,장비의 유지 100
1591,K000007471,보험관리자,012,행정·경영·금융·보험 관리자,0124,2.2,대졸,사회,,보험중개사(국가전문),울산,경제와 회계 100,인사 87,경영 및 행정 83
1592,K000000886,냉동·냉장·공조기 설치 및 정비원,811,기계장비 설치·정비원(운송장비 제외),8115,2.3,고졸,공학,,,경기,기계 99,장비의 유지 94,움직임 통제 93
1593,K000000882,귀금속 및 보석 세공원,884,공예원 및 귀금속세공원,8842,4.0,고졸,예체능,공예과,"귀금속가공기능사, 산업기사, 기능장(국가기술)",서울,정교한 동작 97,디자인 89,움직임 통제 79
1594,K000000848,재봉사(의류·직물),862,"패턴사, 재단사 및 재봉사",8623,1.9,고졸,인문,,,서울,상품 제조 및 공정 75,정교한 동작 74,디자인 71
1595,K000000882,귀금속 및 보석 세공원,884,공예원 및 귀금속세공원,8842,3.5,고졸,자연,공예과,"귀금속가공기능사, 산업기사, 기능장(국가기술)",서울,시력 100,품질관리분석 98,디자인 92
1596,K000000981,레크리에이션전문가,420,스포츠·레크리에이션 종사자,4205,25.0,고졸,인문,,,충남,예술 100,유연성 및 균형 100,창의력 100
1597,K000007449,회계사,023,회계·세무·감정 전문가,0231,8.9,대졸,사회,,공인회계사(국가전문),인천,추리력 100,모니터링(Monitoring) 100,선택적 집중력 100
1598,K000001174,점토제품 생산기계 조작원,826,비금속제품 생산기계 조작원,8262,13.1,고졸,예체능,,,서울,물적자원 관리 100,작동 점검 97,고장의 발견.수리 93
1599,K000001150,시설 및 특수 경비원,541,경호·보안 종사자,5413,2.8,전문대졸,예체능,,"자동차운전면허 제 1종, 2종 보통(국가전문)",강원,반응시간과 속도 95,신체적 강인성 86,공간지각력 86
1600,K000001212,청원경찰,541,경호·보안 종사자,5412,1.7,대졸,인문,,,울산,행동조정 89,유연성 및 균형 88,심리 76
1601,K000000830,치과위생사,306,의료기사·치료사·재활사,3064,5.9,대졸,의약,,,인천,정교한 동작 91,의료 86,움직임 통제 86
1602,K000001203,관광 서비스 종사원,521,여행 서비스원,5213,3.8,전문대졸,사회,,관광통역안내사(국가전문),대구,서비스 지향 98,고객서비스 80,행동조정 80
1603,K000001131,출납 창구 사무원,032,금융·보험 사무원,0324,3.8,대졸,자연,,전자계산기기능사(국가기술),서울,재정 관리 99,서비스 지향 98,말하기 88
1604,K000001038,방수공,702,건축마감 기능원,7022,3.9,중졸 이하,사회,,방수기능사(국가기술),경기,건축 및 설계 87,유연성 및 균형 82,고장의 발견.수리 76
1605,K000007449,회계사,023,회계·세무·감정 전문가,0231,2.6,대졸,사회,,공인회계사(국가전문),대전,경제와 회계 100,인적자원 관리 100,판단과 의사결정 100
1606,K000007467,콘크리트공,701,건설구조 기능원,7014,1.8,고졸,인문,,,충북,움직임 통제 94,신체적 강인성 74,상품 제조 및 공정 65
1607,K000001037,유리·유리제품 생산기계 조작원,826,비금속제품 생산기계 조작원,8261,4.3,대졸,인문,공예과,,대전,작동 점검 86,정교한 동작 85,고장의 발견.수리 84
1608,K000007532,사서,413,학예사·사서·기록물관리사,4132,11.2,대졸,인문,,,광주,읽고 이해하기 83,역사 82,서비스 지향 76
1609,K000001008,패션소품디자이너(의상제외),415,디자이너,4152,1.7,전문대졸,인문,,"제품디자인산업기사, 기사, 기술사(국가기술)",인천,디자인 98,창의력 75,인사 72
1610,K000008541,신재생에너지 기술자 및 연구원,155,에너지·환경공학 기술자 및 시험원,1553,2.4,대졸,공학,,,서울,학습전략 94,품질관리분석 91,재정 관리 89
1611,K000000996,가구 제조 및 수리원,883,가구·목제품 제조·수리원,8831,3.5,고졸,공학,,가구제작기능사(국가기술),서울,고장의 발견.수리 90,신체적 강인성 87,설치 80
1612,K000008485,"경량철골공(석고보드공, 텍스공, 조립주택건립원)",701,건설구조 기능원,7012,4.6,고졸,인문,,"철근기능사, 산업기사(국가기술)",부산,설치 100,장비 선정 94,고장의 발견.수리 86
1613,K000000857,사회복지사,231,사회복지사 및 상담사,2311,0.4,대졸,사회,,"사회복지사 1, 2급(국가전문)",서울,서비스 지향 100,상담 100,심리 93
1614,K000000936,통신기술개발자,131,컴퓨터하드웨어·통신공학 기술자,1312,4.2,대졸,공학,정보통신공학과,전자응용기술사(국가기술),서울,컴퓨터와 전자공학 100,통신 95,기계 92
1615,K000001134,데이터 시스템 전문가,135,데이터 전문가,1351,4.3,석사,공학,,"SQL개발자, 전문가(국가공인 민간)",서울,작동 점검 100,조직체계의 분석 및 평가 99,문제 해결 96
1616,K000001019,학예사(큐레이터),413,학예사·사서·기록물관리사,4131,2.5,석사,인문,경영학과,,대구,창의력 100,지리 96,추리력 94
1617,K000001045,과실 및 채소가공 관련 기계 조작원,873,식품 가공 기계 조작원,8734,2.2,고졸,인문,,식품가공기능사(국가기술),전남,작동 점검 100,반응시간과 속도 99,신체적 강인성 97
1618,K000008485,"경량철골공(석고보드공, 텍스공, 조립주택건립원)",701,건설구조 기능원,7012,6.0,고졸,인문,,"비계기능사, 산업기사(국가기술)",전북,설치 91,반응시간과 속도 90,유연성 및 균형 90
1619,K000001080,데이터분석가(빅데이터분석가),135,데이터 전문가,1352,8.8,대졸,사회,,"빅데이터분석기사, 데이터분석전문가, 데이터분석준전문가",대구,논리적 분석 100,범주화 100,전산 100
1620,K000001087,발전 및 배전 장치 조작원,833,발전·배전 장치 조작원,8330,3.2,전문대졸,공학,화학과,"에너지관리산업기사, 기사(국가기술)",경북,작동 점검 93,설치 92,장비 선정 89
1621,K000000857,사회복지사,231,사회복지사 및 상담사,2311,7.4,대졸,사회,,,부산,경영 및 행정 100,모니터링(Monitoring) 100,듣고 이해하기 98
1622,K000001197,광석 및 석제품 생산기계 조작원,826,비금속제품 생산기계 조작원,8264,3.8,전문대졸,인문,,,충북,상품 제조 및 공정 99,반응시간과 속도 89,공학과 기술 88
1623,K000000992,토목구조설계기술자,140,건축·토목공학 기술자 및 시험원,1403,2.8,석사,공학,토목공학과,도로 및 공항 기술사(국가기술),서울,전산 98,공간지각력 93,공학과 기술 90
1624,K000008486,경비원(건물관리원),542,경비원,5420,7.2,대졸,인문,,일반경비지도사(국가전문),서울,행동조정 83,공간지각력 77,신체적 강인성 59
1625,K000000861,제과·제빵원,871,제과·제빵원 및 떡 제조원,8711,3.9,전문대졸,자연,,,강원,식품생산 93,품질관리분석 85,상품 제조 및 공정 82
1626,K000001082,기계 및 로봇공학 시험원,151,기계·로봇공학 기술자 및 시험원,1513,3.2,석사,공학,,,울산,조직체계의 분석 및 평가 100,기술 설계 99,장비 선정 94
1627,K000008493,관제사,621,항공기·선박·철도 조종사 및 관제사,6214,8.1,대졸,공학,,,충남,조작 및 통제 100,움직임 통제 92,장비 선정 89
1628,K000007484,곡식작물재배원,901,작물재배 종사자,9011,4.8,전문대졸,공학,기계과,,대구,생물 100,식품생산 90,물적자원 관리 80
1629,K000007561,손해사정사,031,금융·보험 전문가,0315,19.7,대졸,사회,,손해평가사(국가전문),울산,협상 100,말하기 100,듣고 이해하기 100
1630,K000000997,상품 기획 전문가,024,광고·조사·상품기획·행사기획 전문가,0243,3.4,박사,인문,,,서울,수리력 100,행동조정 100,글쓰기 100
1631,K000001109,단말기 및 통신 서비스 판매원,615,판매 종사자,6153,1.5,고졸,공학,,,서울,통신 94,서비스 지향 89,경영 및 행정 86
1632,K000000883,학습지·교육교구 방문강사,214,문리·기술·예능 강사,2148,6.7,전문대졸,교육,,,충남,가르치기 99,읽고 이해하기 93,학습전략 89
1633,K000007449,회계사,023,회계·세무·감정 전문가,0231,6.0,대졸,사회,,공인회계사(국가전문),서울,사무 100,논리적 분석 100,전산 100
1634,K000000851,지휘자,414,"창작·공연 전문가(작가, 연극 제외)",4145,15.2,대졸,예체능,피아노과,,경남,가르치기 100,예술 100,청력 100
1635,K000000983,"잠수기능원(잠수부, 구난잠수요원)",705,기타 건설 기능원(채굴포함),7059,3.8,고졸,공학,,"잠수기능사, 산업기사(국가기술)",충남,신체적 강인성 100,공간지각력 85,유연성 및 균형 82
1636,K000000946,도료 및 농약품 화학공학기술자 및 연구원,154,화학공학 기술자 및 시험원,1541,1.8,대졸,자연,생명공학과,,대구,작동 점검 98,기술 설계 96,기술 분석 92
1637,K000007558,초등학교교사,212,학교 교사,2122,2.8,대졸,교육,초등교육과,"초등학교 1, 2급 정교사(국가전문)",충북,모니터링(Monitoring) 100,교육 및 훈련 100,역사 99
1638,K000000828,시멘트 및 광물제품 생산기계 조작원,826,비금속제품 생산기계 조작원,8263,5.7,대졸,공학,,,서울,작동 점검 100,반응시간과 속도 100,움직임 통제 96
1639,K000000873,음향 및 녹음 기사,416,연극·영화·방송 전문가,4165,1.5,대졸,사회,,무대예술전문인《음향》(국가전문),경기,설치 93,청력 92,조작 및 통제 92
1640,K000000828,시멘트 및 광물제품 생산기계 조작원,826,비금속제품 생산기계 조작원,8263,3.0,대졸,공학,,,서울,고장의 발견.수리 91,반응시간과 속도 85,정교한 동작 83
1641,K000000824,번역가,411,작가·통번역가,4112,2.3,대졸,인문,,,대전,읽고 이해하기 95,사무 91,예술 85
1642,K000001166,육류·어패류 및 낙농품 가공 기계 조작원,873,식품 가공 기계 조작원,8731,2.4,중졸 이하,자연,,,서울,식품생산 89,움직임 통제 79,작동 점검 72
1643,K000007523,검표원,564,검침·주차관리 및 기타 서비스 단순 종사자,5644,5.5,고졸,공학,,,부산,고객서비스 90,역사 86,시력 64
1644,K000000929,수상 및 항공운송 사무원,028,무역·운송·생산·품질 사무원,0283,2.0,전문대졸,공학,,물류관리사(국가전문),대구,전산 91,수리력 85,사무 83
1645,K000000986,화학제품 생산기계 조작원,852,고무·플라스틱 및 화학제품 생산기계 조작원 및 조립원,8523,0.6,대졸,공학,,"화공기사, 산업기사(국가기술)",세종,화학 95,신체적 강인성 92,조작 및 통제 91
1646,K000007583,작곡가,414,"창작·공연 전문가(작가, 연극 제외)",4145,6.9,대졸,예체능,관현악과,,서울,예술 98,청력 96,듣고 이해하기 90
1647,K000000987,자산운용가(펀드매니저),031,금융·보험 전문가,0312,5.2,대졸,사회,,,광주,시간 관리 100,재정 관리 100,추리력 100
1648,K000001114,증권 사무원(출납창구제외),032,금융·보험 사무원,0322,4.1,대졸,사회,,,강원,논리적 분석 100,시간 관리 100,수리력 98
1649,K000001218,홍보도우미 및 판촉원(나레이터모델포함),617,판촉 및 기타 판매 단순 종사자,6171,7.7,고졸,인문,,,서울,서비스 지향 89,예술 82,상담 76
1650,K000007449,회계사,023,회계·세무·감정 전문가,0231,19.9,석사,사회,,,부산,법 100,기억력 100,듣고 이해하기 100
1651,K000000946,도료 및 농약품 화학공학기술자 및 연구원,154,화학공학 기술자 및 시험원,1541,2.1,석사,공학,생명공학과,화공안전기술사(국가기술),경기,조직체계의 분석 및 평가 100,물적자원 관리 95,창의력 94
1652,K000000908,보험인수심사원(언더라이터),031,금융·보험 전문가,0319,5.9,대졸,사회,,,경남,법 100,읽고 이해하기 90,사람 파악 86
1653,K000007497,수의사 보조원(동물보건사),307,보건·의료 종사자,3077,4.0,대졸,자연,,,경기,의료 100,생물 81,청력 68
1654,K000001144,영양사,305,영양사,3050,0.8,대졸,자연,식품영양학과,영양사(국가전문),대구,재정 관리 86,물적자원 관리 85,모니터링(Monitoring) 84
1655,K000000899,영화배우 및 탤런트,416,연극·영화·방송 전문가,4162,14.5,대졸,인문,,,서울,창의력 100,읽고 이해하기 100,유연성 및 균형 100
1656,K000001205,전기 및 전자공학 시험원,153,전기·전자공학 기술자 및 시험원,1534,4.0,대졸,공학,,,서울,품질관리분석 93,장비 선정 92,조작 및 통제 87
1657,K000001173,제품 생산 관련 관리자,016,건설·채굴·제조·생산 관리자,0163,14.1,대졸,공학,,품질관리기술사(국가기술),서울,기술 설계 100,판단과 의사결정 100,추리력 100
1658,K000001150,시설 및 특수 경비원,541,경호·보안 종사자,5413,7.2,전문대졸,예체능,,일반경비지도사(국가전문),서울,공간지각력 100,반응시간과 속도 100,유연성 및 균형 95
1659,K000000857,사회복지사,231,사회복지사 및 상담사,2311,7.5,전문대졸,인문,,,대구,상담 100,경영 및 행정 100,재정 관리 100
1660,K000007523,검표원,564,검침·주차관리 및 기타 서비스 단순 종사자,5644,9.2,고졸,자연,,,서울,고객서비스 85,역사 76,시력 59
1661,K000007466,경리사무원,027,회계·경리 사무원,0272,4.7,전문대졸,공학,,"전산회계운용사 1,2,3급(국가기술)",서울,기억력 98,수리력 94,물적자원 관리 91
1662,K000000838,초·중·고등학교 교장 및 교감,013,전문서비스 관리자,0132,2.2,석사,교육,,"초등학교 1,2급 정교사(국가전문)",서울,인적자원 관리 100,학습전략 100,문제 해결 100
1663,K000001067,토목감리기술자,140,건축·토목공학 기술자 및 시험원,1403,4.5,대졸,공학,토목공학과,,인천,건축 및 설계 100,기술 설계 100,기술 분석 85
1664,K000000937,신문기자,412,기자 및 언론 전문가,4120,0.6,대졸,인문,,,서울,논리적 분석 100,선택적 집중력 99,모니터링(Monitoring) 96
1665,K000001175,위관급 장교,250,군인,2502,3.3,박사,인문,,,대전,듣고 이해하기 100,모니터링(Monitoring) 100,행동조정 99
1666,K000001006,주조원(주조기조작원),823,단조원 및 주조원,8233,3.1,고졸,공학,,"주조기능사, 산업기사, 기능장(국가기술)",서울,공학과 기술 97,기계 85,장비의 유지 84
1667,K000000857,사회복지사,231,사회복지사 및 상담사,2311,2.2,대졸,사회,,,경기,인적자원 관리 100,듣고 이해하기 100,물적자원 관리 100
1668,K000001138,방송연출가,416,연극·영화·방송 전문가,4161,4.7,대졸,사회,,,서울,사람 파악 100,시간 관리 100,창의력 98
1669,K000007555,양식조리사,531,주방장 및 조리사,5314,7.9,전문대졸,자연,,,광주,물적자원 관리 100,창의력 100,식품생산 100
1670,K000000950,음식 서비스 관련 관리자,014,미용·여행·숙박·음식·경비·청소 관리자,0142,4.6,고졸,인문,,,서울,인적자원 관리 91,영업과 마케팅 90,식품생산 90
1671,K000007463,웹디자이너,415,디자이너,4155,17.5,대졸,예체능,,,경기,시간 관리 100,판단과 의사결정 100,심리 100
1672,K000000967,기술·기능계강사,214,문리·기술·예능 강사,2144,5.8,전문대졸,공학,,,서울,학습전략 94,조직체계의 분석 및 평가 93,말하기 85
1673,K000001186,청능치료사,306,의료기사·치료사·재활사,3068,3.0,대졸,인문,,청능사,대전,시력 100,청력 92,정교한 동작 90
1674,K000001196,인사·교육·훈련사무원,026,경영지원 사무원,0264,2.6,대졸,교육,,ERP정보관리사《물류/생산/인사/회계》(국가공인 민간),인천,인사 100,설득 94,국어 92
1675,K000001223,금형원,813,금형원 및 공작기계 조작원,8131,2.7,대졸,자연,,,경북,정교한 동작 90,상품 제조 및 공정 81,움직임 통제 80
1676,K000001045,과실 및 채소가공 관련 기계 조작원,873,식품 가공 기계 조작원,8734,2.4,전문대졸,공학,,,경기,정교한 동작 96,식품생산 92,조작 및 통제 89
1677,K000000950,음식 서비스 관련 관리자,014,미용·여행·숙박·음식·경비·청소 관리자,0142,5.1,대졸,자연,,,부산,물적자원 관리 100,가르치기 99,서비스 지향 97
1678,K000000913,홀서빙원,532,식당 서비스원,5322,8.1,대졸,인문,,,전북,청력 81,사람 파악 77,인사 76
1679,K000001023,공업기계 설치 및 정비원,811,기계장비 설치·정비원(운송장비 제외),8112,7.7,전문대졸,공학,,건설기계차체정비기능사(국가기술),서울,작동 점검 100,고장의 발견.수리 97,화학 97
1680,K000000946,도료 및 농약품 화학공학기술자 및 연구원,154,화학공학 기술자 및 시험원,1541,6.7,대졸,공학,생명공학과,,경기,기술 설계 100,기술 분석 100,화학 100
1681,K000000871,일반기계 조립원,816,기계 조립원(운송장비 제외),8161,5.0,석사,공학,,"생산자동화기능사, 산업기사(국가기술)",충남,장비의 유지 100,작동 점검 100,조작 및 통제 100
1682,K000000850,요양 보호사 및 간병인,550,돌봄 서비스 종사자,5501,5.3,중졸 이하,인문,,,대구,행동조정 84,의료 79,서비스 지향 76
1683,K000000841,김치 및 밑반찬 제조 종사원,872,식품 가공 기능원,8722,4.6,고졸,자연,,한식조리기능사(국가기술),서울,서비스 지향 88,정교한 동작 87,식품생산 83
1684,K000001035,조경원,901,작물재배 종사자,9015,2.3,전문대졸,공학,환경조경과,,대전,공간지각력 95,신체적 강인성 90,디자인 78
1685,K000000944,경영 및 진단 전문가,022,경영·인사 전문가,0221,3.0,대졸,사회,,,경기,협상 100,경제와 회계 100,듣고 이해하기 100
1686,K000007547,안마사,307,보건·의료 종사자,3078,1.9,고졸,인문,재활학과,,경기,유연성 및 균형 82,서비스 지향 78,신체적 강인성 74
1687,K000000867,직업 운동선수,420,스포츠·레크리에이션 종사자,4202,8.0,대졸,인문,체육학과,,대구,교육 및 훈련 100,시력 100,학습전략 97
1688,K000001179,투자분석가,031,금융·보험 전문가,0311,8.1,석사,자연,,CRA《신용위험분석사》(국가공인 민간),서울,문제 해결 100,경제와 회계 100,글쓰기 100
1689,K000007530,유치원교사,213,유치원 교사,2130,4.6,대졸,교육,사회학과,"유치원 1, 2급 정교사(국가전문)",경기,말하기 100,가르치기 95,교육 및 훈련 92
1690,K000007484,곡식작물재배원,901,작물재배 종사자,9011,9.3,대졸,공학,기계과,"종자기능사, 산업기사, 기사, 기술사(국가기술)",서울,식품생산 100,신체적 강인성 93,생물 90
1691,K000000969,문화·예술 관련 관리자,013,전문서비스 관리자,0136,5.3,대졸,예체능,,,대구,예술 93,판단과 의사결정 89,국어 86
1692,K000001169,방송작가,411,작가·통번역가,4111,2.4,대졸,인문,연극영화학과,,서울,읽고 이해하기 100,추리력 100,예술 100
1693,K000000828,시멘트 및 광물제품 생산기계 조작원,826,비금속제품 생산기계 조작원,8263,2.6,전문대졸,공학,,"콘크리트 기능사, 산업기사, 기사(국가기술)",서울,작동 점검 100,조작 및 통제 99,움직임 통제 92
1694,K000008548,방재기술자 및 연구원,158,소방·방재·산업안전·비파괴 기술자,1582,11.0,대졸,공학,,,서울,품질관리분석 89,청력 83,장비의 유지 83
1695,K000001110,국악인,414,"창작·공연 전문가(작가, 연극 제외)",4144,2.0,대졸,예체능,무용학과,,인천,청력 95,예술 84,유연성 및 균형 80
1696,K000000842,육묘 및 화훼작물재배자,901,작물재배 종사자,9014,2.0,대졸,인문,,,대구,생물 95,물적자원 관리 94,정교한 동작 87
1697,K000000851,지휘자,414,"창작·공연 전문가(작가, 연극 제외)",4145,3.5,석사,예체능,작곡과,,광주,가르치기 100,선택적 집중력 100,기억력 91
1698,K000007478,비서,029,안내·고객상담·통계·비서 및 기타 사무원,0294,15.6,대졸,사회,국제비서과,,대구,청력 100,글쓰기 100,시간 관리 100
1699,K000007449,회계사,023,회계·세무·감정 전문가,0231,7.7,대졸,사회,,공인회계사(국가전문),경기,경제와 회계 100,모니터링(Monitoring) 100,읽고 이해하기 100
1700,K000001045,과실 및 채소가공 관련 기계 조작원,873,식품 가공 기계 조작원,8734,7.3,전문대졸,자연,,식품가공기능사(국가기술),경기,조작 및 통제 100,품질관리분석 99,식품생산 98
1701,K000000840,송·배전설비기술자,153,전기·전자공학 기술자 및 시험원,1531,6.7,대졸,공학,전기공학과,"전기공사산업기사, 기사(국가기술)",충남,기술 설계 100,장비 선정 100,공학과 기술 100
1702,K000001000,제품 디자이너,415,디자이너,4151,3.9,전문대졸,예체능,,"제품디자인산업기사, 기사, 기술사(국가기술)",대전,창의력 100,기술 분석 97,시간 관리 94
1703,K000000995,"일반행정공무원(조세, 관세, 병무 제외)",025,정부행정 사무원,0259,3.2,대졸,공학,,ERP정보관리사《물류/생산/인사/회계》(국가공인 민간),충남,법 100,행동조정 92,모니터링(Monitoring) 92
1704,K000007501,물리치료사,306,의료기사·치료사·재활사,3065,0.7,전문대졸,의약,물리치료학과,물리치료사(국가전문),경기,의료 77,생물 77,심리 77
1705,K000001105,식품 및 담배 등급원,872,식품 가공 기능원,8724,1.3,대졸,자연,,식품가공기능사(국가기술),인천,품질관리분석 88,식품생산 87,화학 72
1706,K000000890,UX/UI디자이너,415,디자이너,4155,18.0,전문대졸,예체능,,"시각디자인 산업기사, 기사(국가기술)",광주,기술 설계 100,행동조정 100,논리적 분석 100
1707,K000000882,귀금속 및 보석 세공원,884,공예원 및 귀금속세공원,8842,3.4,고졸,예체능,공예과,,서울,디자인 100,정교한 동작 100,기계 94
